Calcimycin,D000001,D02.355.291.933.125; D02.540.576.625.125; D03.633.100.221.173; D04.345.241.654.125; D04.345.674.625.125
Temefos,D000002,D02.705.400.625.800; D02.705.539.345.800; D02.886.300.692.800
Abattoirs,D000003,J01.576.423.200.700.100; J03.540.020
Abbreviations as Topic,D000004,L01.559.598.400.556.131
Abdomen,D000005,A01.923.047
"Abdomen, Acute",D000006,C23.888.592.612.054.200; C23.888.821.030.249
Abdominal Injuries,D000007,C26.017
Abdominal Neoplasms,D000008,C04.588.033
Abdominal Muscles,D000009,A02.633.567.050
Abducens Nerve,D000010,A08.800.800.120.030
Abelson murine leukemia virus,D000011,B04.613.807.375.525.020; B04.820.650.375.525.020
Abetalipoproteinemia,D000012,C16.320.565.398.500.440.500; C18.452.584.500.875.440.500; C18.452.584.563.500.440.500; C18.452.648.398.500.440.500
Congenital Abnormalities,D000013,C16.131
"Abnormalities, Drug-Induced",D000014,C16.131.042
"Abnormalities, Multiple",D000015,C16.131.077
"Abnormalities, Radiation-Induced",D000016,C16.131.080; C26.733.031; G01.750.748.500.031; N06.850.460.350.850.500.031; N06.850.810.300.360.031
ABO Blood-Group System,D000017,D23.050.301.290.031; D23.050.705.230.031
Abomasum,D000018,A13.869.106
Abortifacient Agents,D000019,D27.505.696.875.131; D27.505.954.705.131
"Abortifacient Agents, Nonsteroidal",D000020,D27.505.696.875.131.100; D27.505.954.705.131.100
"Abortifacient Agents, Steroidal",D000021,D27.505.696.875.131.200; D27.505.954.705.131.200
"Abortion, Spontaneous",D000022,C12.050.703.039; G08.686.784.769.496.125
Abortion Applicants,D000023,M01.050
"Abortion, Illegal",D000024,I01.198.240.089
"Abortion, Eugenic",D000025,E04.520.050.050
"Abortion, Habitual",D000026,C12.050.703.039.089
"Abortion, Incomplete",D000027,C12.050.703.039.093
"Abortion, Induced",D000028,E04.520.050
"Abortion, Legal",D000029,E04.520.050.055
"Abortion, Missed",D000030,C12.050.703.039.173
"Abortion, Septic",D000031,C01.674.173; C12.050.703.039.256; C12.050.703.700.173
"Abortion, Therapeutic",D000032,E04.520.050.060
"Abortion, Threatened",D000033,C12.050.703.090
"Abortion, Veterinary",D000034,C12.050.703.039.422; C22.021
Abreaction,D000035,F04.754.720.107
Abrin,D000036,D08.811.277.450.430.700.750.111; D12.776.503.499.249; D12.776.765.678.906.111
Abruptio Placentae,D000037,C12.050.703.420.078; C12.050.703.590.132
Abscess,D000038,C01.830.025; C23.550.470.756.100
Peritonsillar Abscess,D000039,C01.748.561.750.500; C01.830.025.675; C07.550.781.750.500; C08.730.561.750.500; C09.775.649.750.500
Abscisic Acid,D000040,D02.241.223.268.034; D02.455.326.271.665.202.061; D02.455.426.392.368.367.379.249.024; D02.455.849.131.061; D02.455.849.765.521.500
Absenteeism,D000041,F02.784.692.107
Absorption,D000042,G01.015; G02.010; G03.015; G03.787.024; G07.690.725.015
Abstracting and Indexing,D000043,L01.462.750.245.100
Dental Abutments,D000044,E06.780.346.500; E07.695.190.175
Acacia,D000045,B01.875.800.575.912.250.401.025
Academic Medical Centers,D000046,N02.278.020
Academies and Institutes,D000047,N03.540.052
Acanthamoeba,D000048,B01.046.500.100.075.080
Acanthocephala,D000049,B01.050.500.500.132
Acanthocytes,D000050,A11.118.290.330.100; A11.443.240.330.100; A15.145.229.334.330.100
Acantholysis,D000051,C17.800.865.070; C23.550.035
Acanthosis Nigricans,D000052,C17.800.621.430.530.100
Acari,D000053,B01.050.500.131.166.132
Acceleration,D000054,G01.482.107
Accessory Nerve,D000055,A08.800.800.120.060
Accident Prevention,D000056,N06.850.135.060
Accident Proneness,D000057,F01.145.015
Accidental Falls,D000058,N06.850.135.122
Accidents,D000059,N06.850.135
"Accidents, Aviation",D000060,N06.850.135.185
"Accidents, Home",D000061,N06.850.135.217
"Accidents, Occupational",D000062,N06.850.135.240
"Accidents, Traffic",D000063,N06.850.135.392
Acclimatization,D000064,G07.025.133; G16.012.500.133
"Accommodation, Ocular",D000065,G14.010
Accounting,D000066,N03.219.463.030
Accounts Payable and Receivable,D000067,N03.219.463.030.080
Accreditation,D000068,N03.706.110.070; N05.700.200.100
Acculturation,D000069,I01.076.201.450.050; I01.880.853.100.079
Acebutolol,D000070,D02.033.100.624.698.025; D02.033.755.624.698.025; D02.092.063.624.698.025
Acedapsone,D000072,D02.886.590.263.050
Acenaphthenes,D000073,D02.455.426.559.847.638.059; D04.615.638.059
Acenocoumarol,D000074,D03.383.663.283.446.520.079; D03.633.100.150.446.520.079
Acepromazine,D000075,D02.886.369.029; D03.633.300.783.029
Acetabularia,D000076,B01.875.150.133
Acetabulum,D000077,A02.835.232.043.825.108
Acetaldehyde,D000079,D02.047.064
Acetals,D000080,D02.355.071
Acetamides,D000081,D02.065.064; D02.241.081.018.110
Acetaminophen,D000082,D02.065.199.092.040; D02.092.146.113.092.040
Acetanilides,D000083,D02.065.199.092; D02.092.146.113.092
Acetate Kinase,D000084,D08.811.913.696.630.025
Acetates,D000085,D02.241.081.018; D10.251.400.045
Acetazolamide,D000086,D02.886.675.867.060; D03.383.129.708.867.060
Acetic Anhydrides,D000089,D02.113.075; D02.241.081.018.193
Acetoacetates,D000090,D02.241.755.080; D02.522.585.175
Acetobacter,D000091,B03.440.400.425.100.100; B03.660.050.755.050.010
Acetohexamide,D000092,D02.065.884.060.003; D02.065.950.828.071; D02.455.426.559.389.085.003; D02.886.590.700.090.003; D02.886.590.795.071
Acetoin,D000093,D02.522.296.100
Acetoin Dehydrogenase,D000094,D08.811.682.047.820.200
Acetolactate Synthase,D000095,D08.811.913.200.324; D12.776.331.049
Acetone,D000096,D02.522.064
Acetonitriles,D000097,D02.626.080
Acetophenones,D000098,D02.522.120
Acetoxyacetylaminofluorene,D000099,D02.065.064.150.100; D02.241.081.018.110.080.070; D02.455.426.559.847.389.050.060; D04.615.389.050.060
Acetrizoic Acid,D000100,D02.241.223.100.050.300.100; D02.241.223.100.400.880.020; D02.455.426.559.389.127.020.452.249; D02.455.426.559.389.127.375.880.020
Acetyl-CoA C-Acetyltransferase,D000101,D08.811.913.050.134.025
Acetyl-CoA C-Acyltransferase,D000102,D08.811.913.050.080
Acetyl-CoA Carboxylase,D000103,D08.811.464.257.050; D08.811.641.249
Acetyl-CoA Hydrolase,D000104,D08.811.277.352.897.075
Acetyl Coenzyme A,D000105,D03.633.100.759.646.138.382.300.020; D08.211.211.300.075; D13.695.667.138.382.300.020; D13.695.827.068.382.300.020
Acetate-CoA Ligase,D000106,D08.811.464.267.500.200
Acetylation,D000107,G02.111.012.052; G02.607.063.052; G03.040.052
Acetylcarnitine,D000108,D02.092.877.883.099.090
Acetylcholine,D000109,D02.092.211.111
Acetylcholinesterase,D000110,D08.811.277.352.100.170.176
Acetylcysteine,D000111,D02.886.030.230.259; D12.125.166.230.259
Acetyldigitoxins,D000112,D04.210.500.155.580.130.500.336.259; D04.210.500.155.580.130.625.259; D09.408.180.261.336.259
Acetyldigoxins,D000113,D04.210.500.155.580.130.500.436.050; D04.210.500.155.580.130.688.050; D09.408.180.261.436.050
Acetylene,D000114,D02.455.326.397.259
Acetylesterase,D000115,D08.811.277.352.100.050
Acetylgalactosamine,D000116,D09.067.342.356.050
Acetylglucosamine,D000117,D09.067.342.531.050
Acetylglucosaminidase,D000118,D08.811.277.450.483.180.500
Acetylmuramyl-Alanyl-Isoglutamine,D000119,D09.067.550.050; D09.811.522.050; D12.644.233.050
Acecainide,D000120,D02.241.223.100.050.500.625; D02.241.223.100.100.033; D02.455.426.559.389.127.020.937.625; D02.455.426.559.389.127.085.033
Acetylserotonin O-Methyltransferase,D000121,D08.811.913.555.500.100
Acetylthiocholine,D000122,D02.092.877.883.333.800.030; D02.675.276.232.800.030; D02.886.489.789.030
Acetyltransferases,D000123,D08.811.913.050.134
Achievement,D000124,F01.658.059; F02.784.629.054
Achilles Tendon,D000125,A02.880.176
Achlorhydria,D000126,C06.405.748.045; C18.452.076.087
Acholeplasma,D000127,B03.440.860.074.150
Acholeplasma laidlawii,D000128,B03.440.860.074.150.500
Acholeplasmataceae,D000129,B03.440.860.074
Achondroplasia,D000130,C05.116.099.343.110; C05.116.099.708.017; C16.320.240.500
"Acid Etching, Dental",D000134,E06.931.475.111
Acid Phosphatase,D000135,D08.811.277.352.650.025
Acid-Base Equilibrium,D000136,G02.111.007; G02.300.176; G03.030; G07.410.110; G09.188.050
Acid-Base Imbalance,D000137,C18.452.076
Acidosis,D000138,C18.452.076.176
"Acidosis, Lactic",D000140,C18.452.076.176.180
"Acidosis, Renal Tubular",D000141,C12.050.351.968.419.815.093; C12.200.777.419.815.093; C12.950.419.815.093; C16.320.831.093; C18.452.076.176.210
"Acidosis, Respiratory",D000142,C08.618.846.093; C18.452.076.176.310
Acids,D000143,D01.029
"Acids, Acyclic",D000144,D02.241.081
"Acids, Aldehydic",D000145,D02.241.152
"Acids, Carbocyclic",D000146,D02.241.223
"Acids, Heterocyclic",D000147,D03.066
"Acids, Noncarboxylic",D000148,D01.029.260
Acidulated Phosphate Fluoride,D000149,D01.029.260.700.675.374.025; D01.303.350.300.875.050; D01.695.625.675.650.025; D01.857.725.050; D25.223.015; J01.637.051.223.015
Acinetobacter,D000150,B03.440.400.425.537.050; B03.660.250.530.050
Acinetobacter Infections,D000151,C01.150.252.400.560.022
Acne Vulgaris,D000152,C17.800.030.150; C17.800.794.111
Acne Keloid,D000153,A10.165.450.300.425.125; C17.300.200.425.125; C17.800.030.030; C17.800.329.500.261
Aconitate Hydratase,D000154,D08.811.520.241.300.050
Aconitic Acid,D000156,D02.241.081.901.177
Aconitine,D000157,D02.455.849.291.184.037; D03.132.301.030
Acoustic Impedance Tests,D000158,E01.370.382.375.050
Vestibulocochlear Nerve,D000159,A08.800.800.120.910
Vestibulocochlear Nerve Diseases,D000160,C09.218.807.800; C10.292.910
Acoustic Stimulation,D000161,E02.037; E02.190.888.030; E05.723.136
Acoustics,D000162,H01.671.031
Acquired Immunodeficiency Syndrome,D000163,C01.221.250.875.040; C01.221.812.640.400.040; C01.778.640.400.040; C01.925.782.815.616.400.040; C01.925.813.400.040; C01.925.839.040; C12.100.937.640.400.040; C20.673.480.040
Acremonium,D000164,B01.300.381.025
Acridine Orange,D000165,D03.633.300.046.250.150
Acridines,D000166,D03.633.300.046
Acriflavine,D000167,D03.633.300.046.250.177
Acrocephalosyndactylia,D000168,C05.116.099.370.894.232.015; C05.116.099.370.894.819.100; C05.660.207.240.100; C05.660.585.800.100; C05.660.906.364.100; C05.660.906.819.100; C16.131.621.207.240.100; C16.131.621.585.800.100; C16.131.621.906.364.100; C16.131.621.906.819.100
Acrodermatitis,D000169,C16.131.831.066; C17.800.174.100; C17.800.804.066
Acrodynia,D000170,C10.668.829.025; C10.720.475.600.150; C25.723.522.875.500.100
Acrolein,D000171,D02.047.122
Acromegaly,D000172,C05.116.132.082; C10.228.140.617.738.250.100; C19.700.355.179
Acromioclavicular Joint,D000173,A02.835.583.032
Acromion,D000174,A02.835.232.087.783.261
Acronine,D000175,D03.132.032.077; D03.633.300.046.109.077
Acrosin,D000176,D08.811.277.656.300.760.030; D08.811.277.656.959.350.030
Acrosome,D000177,A05.360.490.890.820.100; A11.284.430.214.190.875.190.550.040; A11.497.760.400.100
Acrylamides,D000178,D02.065.122; D02.241.081.069.094
Acrylates,D000179,D02.241.081.069
Acrylic Resins,D000180,D05.750.716.822.111; D25.720.716.822.111; J01.637.051.720.716.822.111
Acrylonitrile,D000181,D02.626.095
"ACTH Syndrome, Ectopic",D000182,C04.730.713.317
Actihaemyl,D000183,D20.777.050
Acting Out,D000184,F01.393.047
Actinin,D000185,D05.750.078.730.248; D12.776.210.500.095; D12.776.220.525.250
Actinium,D000186,D01.268.271.100.033; D01.268.556.025; D01.496.749.305.100.033; D01.552.020.042; D01.552.544.025
Actinobacillosis,D000187,C01.150.252.400.700.030.178; C22.039
Actinobacillus,D000188,B03.440.450.009; B03.660.250.550.050
Actinobacillus Infections,D000189,C01.150.252.400.700.030
Actinomyces,D000190,B03.510.024.049.050.050; B03.510.460.400.400.049.049.178
Actinomycetaceae,D000191,B03.510.024.049.050; B03.510.460.400.400.049.049
Actinomycetales,D000192,B03.510.024.049
Actinomycetales Infections,D000193,C01.150.252.410.040
Actinomycosis,D000196,C01.150.252.410.040.137
"Actinomycosis, Cervicofacial",D000197,C01.150.252.410.040.137.316; C01.150.252.819.110; C01.800.720.110; C17.800.838.765.110
Spectinomycin,D000198,D03.383.188.712; D03.633.300.835; D09.408.051.836
Actins,D000199,D05.750.078.730.250; D12.776.210.500.100; D12.776.220.525.255
Action Potentials,D000200,G04.580.100; G07.265.675.100; G11.561.570.100
Activation Analysis,D000201,E05.196.039
Activator Appliances,D000202,E06.658.453.560.100; E06.658.453.578.100
Activities of Daily Living,D000203,E02.760.169.063.500.067; E02.831.067; I03.050; N02.421.784.110
Activity Cycles,D000204,G07.180.562.797.500
Actomyosin,D000205,D12.776.210.500.154
Actuarial Analysis,D000206,E05.318.740.100; N05.715.360.750.100; N06.850.520.830.100
Acute Disease,D000208,C23.550.291.125
Acute-Phase Proteins,D000209,D12.776.124.050
Acute-Phase Reaction,D000210,C23.550.470.099
Acyclovir,D000212,D03.633.100.759.758.399.454.250
Acyl Carrier Protein,D000213,D12.776.157.050
Acyl Coenzyme A,D000214,D03.633.100.759.646.138.382.300; D08.211.211.300; D13.695.667.138.382.300; D13.695.827.068.382.300
Acylation,D000215,G02.111.012; G02.607.063; G03.040
N-Acylneuraminate Cytidylyltransferase,D000216,D08.811.913.696.445.035
Acyltransferases,D000217,D08.811.913.050
Adamantane,D000218,D02.455.426.100.050; D02.455.426.392.368.075
Adams-Stokes Syndrome,D000219,C14.280.067.558.137; C14.280.123.500.137; C23.550.073.425.025
"Adaptation, Biological",D000220,G16.012
"Adaptation, Ocular",D000221,G14.020
"Adaptation, Physiological",D000222,G07.025; G16.012.500
"Adaptation, Psychological",D000223,F01.058
Addison Disease,D000224,C19.053.500.263; C20.111.163
Adenine,D000225,D03.633.100.759.138
"Mitochondrial ADP, ATP Translocases",D000226,D12.776.157.530.625.875.500; D12.776.157.530.937.594; D12.776.543.585.450.162.225; D12.776.543.585.475.500; D12.776.543.585.625.875.500; D12.776.543.585.937.688; D12.776.575.750.500
Adenine Nucleotides,D000227,D03.633.100.759.646.138; D13.695.667.138; D13.695.827.068
Adenine Phosphoribosyltransferase,D000228,D08.811.913.400.725.100
Dependovirus,D000229,B04.280.580.650.170
Adenocarcinoma,D000230,C04.557.470.200.025
"Adenocarcinoma, Papillary",D000231,C04.557.470.200.025.085
Adenofibroma,D000232,C04.557.450.565.590.595.050; C04.557.470.625.050
